position_code,department,division,location,description,capacity,status
1604-11503-0371,ภาค 6,กำแพงเพชร,สภ.เมืองกำแพงเพชร,รอง สว.(สอบสวน) สภ.เมืองกำแพงเพชร จ.กำแพงเพชร สายงานสืบสวนสอบสวน เพื่อใช้รองรับการแต่งตั้ง รอง สว.ประจำ รร.นรต. (นรต.รุ่นที่ 79),1,available
1604-11503-0376,ภาค 6,กำแพงเพชร,สภ.เมืองกำแพงเพชร,รอง สว.(สอบสวน) สภ.เมืองกำแพงเพชร จ.กำแพงเพชร สายงานสืบสวนสอบสวน เพื่อใช้รองรับการแต่งตั้ง รอง สว.ประจำ รร.นรต. (นรต.รุ่นที่ 79),1,available
1605-11503-0306,ภาค 6,ตาก,สภ.แม่สอด,รอง สว.(สอบสวน) สภ.แม่สอด จ.ตาก สายงานสืบสวนสอบสวน เพื่อใช้รองรับการแต่งตั้ง รอง สว.ประจำ รร.นรต. (นรต.รุ่นที่ 79),1,available
1605-11503-0307,ภาค 6,ตาก,สภ.แม่สอด,รอง สว.(สอบสวน) สภ.แม่สอด จ.ตาก สายงานสืบสวนสอบสวน เพื่อใช้รองรับการแต่งตั้ง รอง สว.ประจำ รร.นรต. (นรต.รุ่นที่ 79),1,available
1606-11503-0237,ภาค 6,นครสวรรค์,สภ.ตาคลี,รอง สว.(สอบสวน) สภ.ตาคลี จ.นครสวรรค์ สายงานสืบสวนสอบสวน เพื่อใช้รองรับการแต่งตั้ง รอง สว.ประจำ รร.นรต. (นรต.รุ่นที่ 79),1,available
1607-11503-0246,ภาค 6,พิจิตร,สภ.เมืองพิจิตร,รอง สว.(สอบสวน) สภ.เมืองพิจิตร จ.พิจิตร สายงานสืบสวนสอบสวน เพื่อใช้รองรับการแต่งตั้ง รอง สว.ประจำ รร.นรต. (นรต.รุ่นที่ 79),1,available
1608-11503-0382,ภาค 6,พิษณุโลก,สภ.เมืองพิษณุโลก,รอง สว.(สอบสวน) สภ.เมืองพิษณุโลก จ.พิษณุโลก สายงานสืบสวนสอบสวน เพื่อใช้รองรับการแต่งตั้ง รอง สว.ประจำ รร.นรต. (นรต.รุ่นที่ 79),1,available
1608-11503-0377,ภาค 6,พิษณุโลก,สภ.เมืองพิษณุโลก,รอง สว.(สอบสวน) สภ.เมืองพิษณุโลก จ.พิษณุโลก สายงานสืบสวนสอบสวน เพื่อใช้รองรับการแต่งตั้ง รอง สว.ประจำ รร.นรต. (นรต.รุ่นที่ 79),1,available
1608-11503-0419,ภาค 6,พิษณุโลก,สภ.วังทอง,รอง สว.(สอบสวน) สภ.วังทอง จ.พิษณุโลก สายงานสืบสวนสอบสวน เพื่อใช้รองรับการแต่งตั้ง รอง สว.ประจำ รร.นรต. (นรต.รุ่นที่ 79),1,available
1609-11503-0346,ภาค 6,เพชรบูรณ์,สภ.เมืองเพชรบูรณ์,รอง สว.(สอบสวน) สภ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ สายงานสืบสวนสอบสวน เพื่อใช้รองรับการแต่งตั้ง รอง สว.ประจำ รร.นรต. (นรต.รุ่นที่ 79),1,available
1609-11503-0348,ภาค 6,เพชรบูรณ์,สภ.เมืองเพชรบูรณ์,รอง สว.(สอบสวน) สภ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ สายงานสืบสวนสอบสวน เพื่อใช้รองรับการแต่งตั้ง รอง สว.ประจำ รร.นรต. (นรต.รุ่นที่ 79),1,available
1609-11503-0533,ภาค 6,เพชรบูรณ์,สภ.หล่มสัก,รอง สว.(สอบสวน) สภ.หล่มสัก จ.เพชรบูรณ์ สายงานสืบสวนสอบสวน เพื่อใช้รองรับการแต่งตั้ง รอง สว.ประจำ รร.นรต. (นรต.รุ่นที่ 79),1,available
1612-11503-0205,ภาค 6,อุทัยธานี,สภ.เมืองอุทัยธานี,รอง สว.(สอบสวน) สภ.เมืองอุทัยธานี จ.อุทัยธานี สายงานสืบสวนสอบสวน เพื่อใช้รองรับการแต่งตั้ง รอง สว.ประจำ รร.นรต. (นรต.รุ่นที่ 79),1,available
